row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,review_status,review_reasons,source_pdf_file,source_state_abbr_checked,source_state_name,geocoded_state_abbr,is_special_unit
MA_0049,MA.json,MA,MARANHÃO,FEIRA NOVA DO MARANHÃO,Unidade Mista Luso Rocha,"Rua Tocantins, Centro",(99)3601-1035,2465086,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,,MARANHÃO,FEIRA NOVA DO MARANHÃO,Unidade Mista Luso Rocha,"Rua Tocantins, Centro",(99)3601-1035,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Unidade Mista Luso Rocha, Rua Tocantins, Centro, FEIRA NOVA DO MARANHÃO, MARANHÃO, Brasil",,false,OK,"R. Tocantins - Centro, Feira Nova do Maranhão - MA, 65995-000, Brasil",-6.9627927,-46.68548879999999,ChIJyWAmV0Hd1pIRn9ongogmmrs,false,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:36Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
MA_0080,MA.json,MA,MARANHÃO,MATINHA,Hospital Municipal Dr Afonso Matos,"MA 014, S/N, Centro",,2461005,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,phone shown as 'Sem contato' in source,MARANHÃO,MATINHA,Hospital Municipal Dr Afonso Matos,"MA 014, S/N, Centro",,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Hospital Municipal Dr Afonso Matos, MA 014, S/N, Centro, MATINHA, MARANHÃO, Brasil",phones empty,false,OK,"MA-014, Matinha - MA, 65218-000, Brasil",-3.0939471,-45.0580056,ChIJ_Z8-ccjVtJIRuNmPtDJ1hc4,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:44Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
MA_0092,MA.json,MA,MARANHÃO,PAULINO NEVES,Hospital José Ferreira dos Reis,MA 315,,6847579,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,phone shown as 'Sem contato' in source,MARANHÃO,PAULINO NEVES,Hospital José Ferreira dos Reis,MA 315,,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Hospital José Ferreira dos Reis, MA 315, PAULINO NEVES, MARANHÃO, Brasil",phones empty,false,OK,"MA-315, Paulino Neves - MA, 65585-000, Brasil",-2.7300456,-42.5286428,ChIJWwyMvh4B7gcRFopklaqeFxM,false,GEOMETRIC_CENTER,establishment|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:48Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
MA_0152,MA.json,MA,MARANHÃO,VILA NOVA DOS MARTIRIOS,Hospital e Maternidade Nossa Senhora da Penha,"Rua Presidente Mendes, S/N, Centro",,2457571,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,phone shown as 'Sem contato' in source,MARANHÃO,VILA NOVA DOS MARTIRIOS,Hospital e Maternidade Nossa Senhora da Penha,"Rua Presidente Mendes, S/N, Centro",,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Hospital e Maternidade Nossa Senhora da Penha, Rua Presidente Mendes, S/N, Centro, VILA NOVA DOS MARTIRIOS, MARANHÃO, Brasil",phones empty,false,OK,"R. Pres. Mendes - Vila João Pinto, Vila Nova dos Martírios - MA, 65924-000, Brasil",-5.1823358,-48.13996239999999,ChIJV0IfykZSxJIRJp-oDeFQVo8,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:52:05Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
MA_0154,MA.json,MA,MARANHÃO,VITORINO FREIRE,Hospital Municipal Dr Francisco Ribeiro Dr Chicão,Rua Eugênio Barros,,2530473,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,phone shown as 'Sem contato' in source,MARANHÃO,VITORINO FREIRE,Hospital Municipal Dr Francisco Ribeiro Dr Chicão,Rua Eugênio Barros,,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Hospital Municipal Dr Francisco Ribeiro Dr Chicão, Rua Eugênio Barros, VITORINO FREIRE, MARANHÃO, Brasil",phones empty,false,OK,"R. Eugênio Barros - Centro, Vitorino Freire - MA, 65320-000, Brasil",-4.285771,-45.2540474,ChIJzX_6ucw_y5IR2DmRxVXKqZg,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:52:06Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
MT_0020,MT.json,MT,MATO GROSSO,Campinápolis,Hospital Municipal Dr.Regis,"Rua Bandeirantes, s/n - Cristalino",(66) 98116-9771,2395479,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Campinápolis,Hospital Municipal Dr.Regis,"Rua Bandeirantes, s/n - Cristalino",(66) 98116-9771,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal Dr.Regis, Rua Bandeirantes, s/n - Cristalino, Campinápolis, MATO GROSSO, Brasil",,false,OK,"Centro, Campinápolis - MT, 78630-000, Brasil",-14.5372792,-52.7969953,ChIJE615-RoCcpMRXItmE2RfSnE,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:53:53Z,watchlist,location_type=GEOMETRIC_CENTER,MT.json,MT,MATO GROSSO,MT,false
PA_0010,PA.json,PA,PARÁ,Altamira,UPA de Altamira,"Travessa Campinas, s/n - Uirapuru",,7898355,Botrópico|Escorpiônico|Fonêutrico|Loxoscélico,phone cell blank in source,PARÁ,Altamira,UPA de Altamira,"Travessa Campinas, s/n - Uirapuru",,"Botrópico, Escorpiônico, Fonêutrico, Loxoscélico","UPA de Altamira, Travessa Campinas, s/n - Uirapuru, Altamira, PARÁ, Brasil",phones empty,false,OK,"Tv. Campinas - Jardim Uirapuru, Altamira - PA, 68374-140, Brasil",-3.2090207,-52.2243506,ChIJX7QsDWU4kpIRHHpxzDy1ZIo,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:54:20Z,watchlist,location_type=GEOMETRIC_CENTER,PA.json,PA,PARÁ,PA,false
PA_0085,PA.json,PA,PARÁ,Marituba,UPA Eládio Soares,Rodovia BR 316. S/N. Almir Gabriel. 67105290,(91) 98621-1978,9271120,Botrópico e Escorpiônico,,PARÁ,Marituba,UPA Eládio Soares,Rodovia BR 316. S/N. Almir Gabriel. 67105290,(91) 98621-1978,Botrópico e Escorpiônico,"UPA Eládio Soares, Rodovia BR 316. S/N. Almir Gabriel. 67105290, Marituba, PARÁ, Brasil",,false,OK,"BR-316 - Almir Gabriel, Marituba - PA, 67105-290, Brasil",-1.3653636,-48.30981140000001,ChIJa5gVo6hYpJIRAYa6G59-31c,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:54:41Z,watchlist,location_type=GEOMETRIC_CENTER,PA.json,PA,PARÁ,PA,false
PA_0117,PA.json,PA,PARÁ,Prainha,Hospital Wilson Ribeiro,,,2331756,Botrópico|Escorpiônico|Fonêutrico|Loxoscélico,"address, phone blank in source",PARÁ,Prainha,Hospital Wilson Ribeiro,,,"Botrópico, Escorpiônico, Fonêutrico, Loxoscélico","Hospital Wilson Ribeiro, Prainha, PARÁ, Brasil",address empty; phones empty,false,OK,"Tv. Paes de Carvalho - Prainha, PA, 68130-000, Brasil",-1.8045386,-53.4813461,ChIJR7A4bIubhZIRIiGtL12vXOo,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:54:50Z,watchlist,location_type=GEOMETRIC_CENTER,PA.json,PA,PARÁ,,false
PA_0159,PA.json,PA,PARÁ,Tailândia,Hospital Geral de Tailândia,Av Florianopolis S/N Bairro Novo,(91) 3752-2131,6779069,Botrópico|Escorpiônico|Fonêutrico|Loxoscélico,,PARÁ,Tailândia,Hospital Geral de Tailândia,Av Florianopolis S/N Bairro Novo,(91) 3752-2131,"Botrópico, Escorpiônico, Fonêutrico, Loxoscélico","Hospital Geral de Tailândia, Av Florianopolis S/N Bairro Novo, Tailândia, PARÁ, Brasil",,false,OK,"Av. Florianópolis - Bairro Novo, Tailândia - PA, 68695-000, Brasil",-2.9360251,-48.9486472,ChIJvxtPgLykvpIRDg880zLU2IM,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:55:02Z,watchlist,location_type=GEOMETRIC_CENTER,PA.json,PA,PARÁ,PA,false
PR_0082,PR.json,PR,PARANÁ,Ipiranga,Hospital Municipal de Ipiranga,"Rua Tereza de Jesus, s/n - Centro",(42) 3242-1878,2686740,Botrópico|Crotálico|Elapídico|Escorpiônico|Fonêutrico|Loxoscélico|Lonômico,,PARANÁ,Ipiranga,Hospital Municipal de Ipiranga,"Rua Tereza de Jesus, s/n - Centro",(42) 3242-1878,"Botrópico, Crotálico, Elapídico, Escorpiônico, Fonêutrico, Loxoscélico, Lonômico","Hospital Municipal de Ipiranga, Rua Tereza de Jesus, s/n - Centro, Ipiranga, PARANÁ, Brasil",,false,OK,"Rua Tereza de Jesus, Ipiranga - PR, 84450-000, Brasil",-25.0226066,-50.58454889999999,ChIJmSd76cRb6JQRLjLYrw1Uo14,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:55:43Z,watchlist,location_type=GEOMETRIC_CENTER,PR.json,PR,PARANÁ,PR,false
RJ_0017,RJ.json,RJ,RIO DE JANEIRO,Nova Iguaçu,Hospital Geral de Nova Iguaçu,"Avenida Henrique Duque Estrada Mayer, 953 - Posse",(21) 3779-9900 R: 144,2798662,Fonêutrico|Loxoscélico|Botrópico,,RIO DE JANEIRO,Nova Iguaçu,Hospital Geral de Nova Iguaçu,"Avenida Henrique Duque Estrada Mayer, 953 - Posse",(21) 3779-9900 R: 144,"Fonêutrico, Loxoscélico, Botrópico","Hospital Geral de Nova Iguaçu, Avenida Henrique Duque Estrada Mayer, 953 - Posse, Nova Iguaçu, RIO DE JANEIRO, Brasil",,false,OK,"Av. Henrique Duque Estrada Meyer - Posse, Nova Iguaçu - RJ, 26030-380, Brasil",-22.7312055,-43.4623735,ChIJlWKzV7ZpmQARwIylfEFc22c,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:56:26Z,watchlist,location_type=GEOMETRIC_CENTER,RJ.json,RJ,RIO DE JANEIRO,RJ,false
RO_0028,RO.json,RO,RONDÔNIA,Porto Velho,Centro De Medicina Tropical,"Avenida Guaporé, 415 - Lagoa",(69) 3216-2202,2493853,Botrópico|Laquético|Crotálico|Elapídico|Escorpiônico|Loxoscélico|Fonêutrico|Lonômico,,RONDÔNIA,Porto Velho,Centro De Medicina Tropical,"Avenida Guaporé, 415 - Lagoa",(69) 3216-2202,"Botrópico, Laquético, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico, Lonômico","Centro De Medicina Tropical, Avenida Guaporé, 415 - Lagoa, Porto Velho, RONDÔNIA, Brasil",,false,OK,"415 303 - Av. Guaporé - Lagoa, Porto Velho - RO, 76812-329, Brasil",-8.7843479,-63.85664999999999,ChIJoa_ml3hbMpIR10wLy4TcOw4,false,GEOMETRIC_CENTER,establishment|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:56:39Z,watchlist,location_type=GEOMETRIC_CENTER,RO.json,RO,RONDÔNIA,RO,false
RR_0005,RR.json,RR,RORAIMA,Iracema,Unidade Mista Irmã Camila,"Rua Heloi Pereira, s/n - Centro",(95) 3543-1454,2320762,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,RORAIMA,Iracema,Unidade Mista Irmã Camila,"Rua Heloi Pereira, s/n - Centro",(95) 3543-1454,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista Irmã Camila, Rua Heloi Pereira, s/n - Centro, Iracema, RORAIMA, Brasil",,false,OK,"R. Elói Pereira - Iracema, RR, 69348-000, Brasil",2.1665756,-61.0503277,ChIJ_1unuGqnko0RzIXv5nUInXg,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:56:44Z,watchlist,location_type=GEOMETRIC_CENTER,RR.json,RR,RORAIMA,,false
SC_0028,SC.json,SC,SANTA CATARINA,Ipira,Hospital Piratuba Ipira,"R. do Hospital, 424",(49) 3558.0487,2691507,Botrópico,,SANTA CATARINA,Ipira,Hospital Piratuba Ipira,"R. do Hospital, 424",(49) 3558.0487,Botrópico,"Hospital Piratuba Ipira, R. do Hospital, 424, Ipira, SANTA CATARINA, Brasil",,false,OK,"R. do Hospital, Ipira - SC, 89669-000, Brasil",-27.4148716,-51.774636,ChIJteOcuQOW45QRXXms2gLI8vs,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:57:22Z,watchlist,location_type=GEOMETRIC_CENTER,SC.json,SC,SANTA CATARINA,SC,false
SC_0029,SC.json,SC,SANTA CATARINA,Ipumirim,Hospital São Camilo,"R. Bento Gonçalves, 445",(49) 3438.1389,6249604,Botrópico,,SANTA CATARINA,Ipumirim,Hospital São Camilo,"R. Bento Gonçalves, 445",(49) 3438.1389,Botrópico,"Hospital São Camilo, R. Bento Gonçalves, 445, Ipumirim, SANTA CATARINA, Brasil",,false,OK,"R. Bento Gonçalves, Ipumirim - SC, 89790-000, Brasil",-27.0754525,-52.13761470000001,ChIJl0sDdACF5JQR38BLcmah6Mc,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:57:23Z,watchlist,location_type=GEOMETRIC_CENTER,SC.json,SC,SANTA CATARINA,SC,false
SC_0091,SC.json,SC,SANTA CATARINA,Mafra,Hospital São Vicente de Paulo,"R. Senador Salgado Filho, 983",(47) 3641.3600,2379333,Botrópico|Aracnídico|Escorpiônico|Lonômico,,SANTA CATARINA,Mafra,Hospital São Vicente de Paulo,"R. Senador Salgado Filho, 983",(47) 3641.3600,"Botrópico, Aracnídico, Escorpiônico, Lonômico","Hospital São Vicente de Paulo, R. Senador Salgado Filho, 983, Mafra, SANTA CATARINA, Brasil",,false,OK,"R. Sen. Salgado Filho - Vila Buenos Aires, Mafra - SC, 89300-000, Brasil",-26.1151171,-49.7935794,ChIJTRQ8-D-T3ZQR5EdysSRvZ4k,false,GEOMETRIC_CENTER,doctor|establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:57:42Z,watchlist,location_type=GEOMETRIC_CENTER,SC.json,SC,SANTA CATARINA,SC,false
SP_0049,SP.json,SP,SÃO PAULO,Colômbia,Hospital Municipal Júlio Rodrigues de Paula,"Rua Antonio Prado, 807 - Centro",(17) 3335-1116/8787,2090376,Botrópico|Crotálico|Loxoscélico|Fonêutrico|Escorpiônico,,SÃO PAULO,Colômbia,Hospital Municipal Júlio Rodrigues de Paula,"Rua Antonio Prado, 807 - Centro",(17) 3335-1116/8787,"Botrópico, Crotálico, Loxoscélico, Fonêutrico, Escorpiônico","Hospital Municipal Júlio Rodrigues de Paula, Rua Antonio Prado, 807 - Centro, Colômbia, SÃO PAULO, Brasil",,false,OK,"Hospital Municipal Júlio Rodrigues de Paula - R. Antônio Prado, 807, Colômbia - SP, 14795-000, Brasil",-20.174512,-48.688955,ChIJJbdLskJgu5QRC3i2yIeGdsE,false,GEOMETRIC_CENTER,premise|street_address,google_maps_geocoding_v1,2026-04-19T14:58:20Z,watchlist,location_type=GEOMETRIC_CENTER,SP.json,SP,SÃO PAULO,SP,false
SP_0182,SP.json,SP,SÃO PAULO,Ribeirão Branco,Hospital Municipal Maria Rosa Cardoso,"Rua Capitão Elias Pereira, 1198 - Centro",(15) 3553-1144/99716-4744,2705249,Botrópico|Crotálico|Escorpiônico|Loxoscélico|Fonêutrico,,SÃO PAULO,Ribeirão Branco,Hospital Municipal Maria Rosa Cardoso,"Rua Capitão Elias Pereira, 1198 - Centro",(15) 3553-1144/99716-4744,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico","Hospital Municipal Maria Rosa Cardoso, Rua Capitão Elias Pereira, 1198 - Centro, Ribeirão Branco, SÃO PAULO, Brasil",,false,OK,"R. Cap. Elías Pereira - Centro, Ribeirão Branco - SP, 18430-000, Brasil",-24.2258906,-48.7679832,ChIJMVvCUH1_w5QRoftFOzs8q-o,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:59:03Z,watchlist,location_type=GEOMETRIC_CENTER,SP.json,SP,SÃO PAULO,SP,false
